Document 1:
Index | Term | TF | IDF | TF-IDF
0 | accent | 0.0000 | 2.7047 | 0.0000
1 | acidity | 0.1192 | 1.3185 | 0.1571
2 | apple | 0.2078 | 2.2993 | 0.4778
3 | aromas | 0.1617 | 1.7885 | 0.2891
4 | astringent | 0.0000 | 2.7047 | 0.0000
5 | balance | 0.0000 | 2.0116 | 0.0000
6 | berry | 0.0000 | 2.2993 | 0.0000
7 | bite | 0.0000 | 2.7047 | 0.0000
8 | blackberry | 0.0000 | 2.7047 | 0.0000
9 | blossom | 0.0000 | 2.7047 | 0.0000
10 | bodied | 0.0000 | 2.7047 | 0.0000
11 | bottling | 0.0000 | 2.7047 | 0.0000
12 | bright | 0.0000 | 2.7047 | 0.0000
13 | brimstone | 0.2445 | 2.7047 | 0.6612
14 | brisk | 0.2078 | 2.2993 | 0.4778
15 | broom | 0.2445 | 2.7047 | 0.6612
16 | candied | 0.0000 | 2.7047 | 0.0000
17 | carry | 0.0000 | 2.7047 | 0.0000
18 | case | 0.0000 | 2.7047 | 0.0000
19 | characteristics | 0.0000 | 2.7047 | 0.0000
20 | citrus | 0.2445 | 2.7047 | 0.6612
21 | companion | 0.0000 | 2.7047 | 0.0000
22 | complement | 0.0000 | 2.7047 | 0.0000
23 | country | 0.0000 | 2.7047 | 0.0000
24 | crisp | 0.0000 | 2.2993 | 0.0000
25 | dark | 0.0000 | 2.7047 | 0.0000
26 | depth | 0.0000 | 2.7047 | 0.0000
27 | dominate | 0.0000 | 2.7047 | 0.0000
28 | dried | 0.4156 | 2.2993 | 0.9557
29 | drink | 0.0000 | 2.7047 | 0.0000
30 | drinkable | 0.0000 | 2.7047 | 0.0000
31 | dry | 0.0000 | 2.2993 | 0.0000
32 | earthy | 0.0000 | 2.7047 | 0.0000
33 | elegant | 0.0000 | 2.7047 | 0.0000
34 | expressive | 0.2445 | 2.7047 | 0.6612
35 | fermented | 0.0000 | 2.7047 | 0.0000
36 | fill | 0.0000 | 2.7047 | 0.0000
37 | finish | 0.0000 | 2.2993 | 0.0000
38 | firm | 0.0000 | 2.2993 | 0.0000
39 | flavor | 0.0000 | 2.7047 | 0.0000
40 | flavors | 0.0000 | 2.0116 | 0.0000
41 | flesh | 0.0000 | 2.7047 | 0.0000
42 | food | 0.0000 | 2.7047 | 0.0000
43 | footprint | 0.0000 | 2.7047 | 0.0000
